央视,#genre#
贵州卫视,http://39.134.65.162/PLTV/88888888/224/3221226030/index.m3u8
山东卫视,http://39.134.65.162/PLTV/88888888/224/3221226034/index.m3u8
东南卫视,http://39.134.65.162/PLTV/88888888/224/3221226038/index.m3u8
延边卫视,http://39.134.65.162/PLTV/88888888/224/3221226040/index.m3u8
甘肃卫视,http://39.134.65.162/PLTV/88888888/224/3221226048/index.m3u8
黑龙江卫视,http://39.134.65.162/PLTV/88888888/224/3221226056/index.m3u8
黑龙江卫视,http://39.134.65.162/PLTV/88888888/224/3221226060/index.m3u8
安多卫视,http://39.134.65.162/PLTV/88888888/224/3221225531/index.m3u8
安徽卫视,http://39.134.65.162/PLTV/88888888/224/3221225925/index.m3u8
北京卫视,http://39.134.65.162/PLTV/88888888/224/3221225931/index.m3u8
北京卫视,http://39.134.65.162/PLTV/88888888/224/3221225678/index.m3u8
东方卫视,http://39.134.65.162/PLTV/88888888/224/3221225942/index.m3u8
东方卫视,http://39.134.65.162/PLTV/88888888/224/3221225672/index.m3u8
东南卫视,http://39.134.65.162/PLTV/88888888/224/3221225500/index.m3u8
东南卫视,http://39.134.65.162/PLTV/88888888/224/3221225950/index.m3u8
甘肃卫视,http://39.134.65.162/PLTV/88888888/224/3221225584/index.m3u8
广东卫视,http://39.134.65.162/PLTV/88888888/224/3221225966/index.m3u8
贵州卫视,http://39.134.65.162/PLTV/88888888/224/3221225576/index.m3u8
贵州卫视,http://39.134.65.162/PLTV/88888888/224/3221225974/index.m3u8
海南卫视,http://39.134.65.162/PLTV/88888888/224/3221225978/index.m3u8
海南卫视,http://39.134.65.162/PLTV/88888888/224/3221225530/index.m3u8
河北卫视,http://39.134.65.162/PLTV/88888888/224/3221225495/index.m3u8
河北卫视,http://39.134.65.162/PLTV/88888888/224/3221225961/index.m3u8
河南卫视,http://39.134.65.162/PLTV/88888888/224/3221225988/index.m3u8
黑龙江卫视,http://39.134.65.162/PLTV/88888888/224/3221225985/index.m3u8
湖北卫视,http://39.134.65.162/PLTV/88888888/224/3221225975/index.m3u8
湖北卫视,http://39.134.65.162/PLTV/88888888/224/3221225569/index.m3u8
湖南卫视,http://39.134.65.162/PLTV/88888888/224/3221225977/index.m3u8
湖南卫视,http://39.134.65.162/PLTV/88888888/224/3221225506/index.m3u8
吉林卫视,http://39.134.65.162/PLTV/88888888/224/3221225981/index.m3u8
江苏卫视,http://39.134.65.162/PLTV/88888888/224/3221225503/index.m3u8
江苏卫视,http://39.134.65.162/PLTV/88888888/224/3221225938/index.m3u8
江西卫视,http://39.134.65.162/PLTV/88888888/224/3221225935/index.m3u8
康巴卫视,http://39.134.65.162/PLTV/88888888/224/3221225527/index.m3u8
辽宁卫视,http://39.134.65.162/PLTV/88888888/224/3221225499/index.m3u8
内蒙古卫视,http://39.134.65.162/PLTV/88888888/224/3221225577/index.m3u8
宁夏卫视,http://39.134.65.162/PLTV/88888888/224/3221225579/index.m3u8
青海卫视,http://39.134.65.162/PLTV/88888888/224/3221225573/index.m3u8
山东教育卫视,http://39.134.65.162/PLTV/88888888/224/3221225558/index.m3u8
山东卫视,http://39.134.65.162/PLTV/88888888/224/3221225952/index.m3u8
山西卫视,http://39.134.65.162/PLTV/88888888/224/3221225496/index.m3u8
陕西卫视,http://39.134.65.162/PLTV/88888888/224/3221225567/index.m3u8
深圳卫视,http://39.134.65.162/PLTV/88888888/224/3221225668/index.m3u8
深圳卫视,http://39.134.65.162/PLTV/88888888/224/3221225943/index.m3u8
四川卫视,http://39.134.65.162/PLTV/88888888/224/3221225970/index.m3u8
天津卫视,http://39.134.65.162/PLTV/88888888/224/3221225972/index.m3u8
天津卫视,http://39.134.65.162/PLTV/88888888/224/3221225665/index.m3u8
西藏卫视,http://39.134.65.162/PLTV/88888888/224/3221225570/index.m3u8
新疆卫视,http://39.134.65.162/PLTV/88888888/224/3221225582/index.m3u8
浙江卫视,http://39.134.65.162/PLTV/88888888/224/3221225959/index.m3u8
浙江卫视,http://39.134.65.162/PLTV/88888888/224/3221225514/index.m3u8
重庆卫视,http://39.134.65.162/PLTV/88888888/224/3221225502/index.m3u8
重庆卫视,http://39.134.65.162/PLTV/88888888/224/3221225963/index.m3u8


//223.12.185.142:8084
湖南卫视,http://223.12.185.142:8084/udp/239.1.1.28:8028
四川卫视,http://223.12.185.142:8084/udp/239.1.1.29:8029
吉林卫视,http://223.12.185.142:8084/udp/239.1.1.30:8030
上海卫视,http://223.12.185.142:8084/udp/239.1.1.31:8031
湖北卫视,http://223.12.185.142:8084/udp/239.1.1.32:8032
东南卫视,http://223.12.185.142:8084/udp/239.1.1.33:8033
河南卫视,http://223.12.185.142:8084/udp/239.1.1.34:8034
江苏卫视,http://223.12.185.142:8084/udp/239.1.1.35:8035
重庆卫视,http://223.12.185.142:8084/udp/239.1.1.36:8036
黑龙江卫视,http://223.12.185.142:8084/udp/239.1.1.37:8037
浙江卫视,http://223.12.185.142:8084/udp/239.1.1.38:8038
